,day,jurisdiction,NPI,S,E,P,I,A,R,D
577,41,3,0,20605,0,0,0,0,0,0
578,41,4,0,809160,171,144,99,50,203,0
579,41,5,0,70969,12,13,11,4,19,0
580,41,6,0,465659,56,40,28,14,42,0
581,41,7,0,162230,33,11,18,3,21,0
582,41,8,0,1630958,261,245,157,80,327,1
583,41,9,0,14251,0,0,0,0,0,0
584,41,10,0,725399,157,115,79,48,134,1
585,41,11,0,530242,145,111,80,51,190,1
586,41,12,0,800664,69,54,33,17,93,0
587,41,13,0,861225,250,181,128,69,263,2
588,42,0,0,228854,41,31,19,11,39,0
589,42,1,0,129032,4,0,0,2,1,0
590,42,2,0,578663,156,117,70,44,158,0
591,42,3,0,20605,0,0,0,0,0,0
592,42,4,0,809097,192,155,115,50,218,0
593,42,5,0,70962,15,16,10,4,21,0
594,42,6,0,465635,69,39,35,16,45,0
595,42,7,0,162222,31,20,17,4,22,0
596,42,8,0,1630840,307,251,185,84,361,1
597,42,9,0,14251,0,0,0,0,0,0
598,42,10,0,725341,171,137,84,48,151,2
599,42,11,0,530183,159,133,83,55,206,1
